<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDRUB,D,20210408,000000,77.2071000,77.3792800,76.5200000,76.5460000,755151
USDRUB,D,20210409,000000,76.7993000,77.5529000,76.5390000,77.3728000,689235
USDRUB,D,20210411,000000,77.4136000,77.6250000,77.2110000,77.4027000,3298
USDRUB,D,20210412,000000,77.4016000,77.7610000,77.0450000,77.3304000,512003
USDRUB,D,20210413,000000,77.3154000,77.5727000,75.7100000,75.9478000,671897
USDRUB,D,20210414,000000,75.9481000,76.0586000,75.3850000,75.8680000,668550
USDRUB,D,20210415,000000,76.0427000,77.5370000,75.6532000,76.0740000,658946
USDRUB,D,20210416,000000,76.0754000,76.6060000,75.2755000,75.7650000,515030
USDRUB,D,20210418,000000,75.8318000,76.1985000,75.7126000,75.9610000,2334
USDRUB,D,20210419,000000,75.9701000,76.5257000,75.7200000,76.3104000,680390
USDRUB,D,20210420,000000,76.3326000,77.2750000,75.8804000,76.6439000,739004
USDRUB,D,20210421,000000,76.6427000,77.2049000,76.2835000,76.6450000,335148
